Month,Height (CM),Deer Count,Precipitation,Temperature (Celsius),
59,0,2,1.459445,10.742611,
60,6.49942,1,4.642444,0.961128,
61,24.540619,2,6.931309,3.865973,
62,33.500373,3,13.116172,7.915624,
63,41.373405,4,12.103811,7.706356,
64,31.215764,5,12.958014,21.195984,
65,18.515779,6,11.440806,25.404663,
66,3.275779,7,6.607455,29.968859,
67,0,6,5.988577,30.925123,
68,0,5,1.807863,24.387987,
69,0,4,1.482453,21.94909,
70,0,3,1.709921,7.981046,
71,2.728712,2,2.092151,2.172869,
72,16.170345,1,6.315938,5.963116,
,,,,,
Month,Height (CM),Deer Count,Precipitation,Temperature (Celsius),Wolf Count
1,21.215108,0,1,10.052896,2.926576
2,30.311255,1,1,10.00599,9.777597
3,30.769314,2,1,11.233725,12.332948
4,25.888027,3,1,14.071921,16.333167
5,18.32714,4,1,11.008376,17.993075
6,8.16731,5,1,6.625544,23.442531
7,0,4,1,7.403463,25.859773
8,0,3,1,1.568459,22.190526
9,0,2,1,0.073183,18.706411
10,0,1,1,1.591115,12.319934
11,5.67253,0,1,1.431174,7.433518
12,25.108589,1,1,5.977421,4.561927
13,34.699263,2,1,9.194962,8.844117
14,36.091116,3,1,11.551768,10.625475
15,41.654265,4,1,14.597466,7.679488
16,32.049022,5,1,14.243294,14.895024
17,19.368905,6,1,10.728214,19.187105
18,4.128905,7,1,9.128187,30.067469
19,0,6,1,5.18334,27.421773
20,0,5,1,1.076428,28.426887
21,0,4,1,2.803203,19.043838
22,0,3,1,2.487141,10.133245
23,1.129014,2,1,2.048586,7.627142
24,11.00313,1,1,4.343414,6.239779
25,28.134797,2,1,8.789572,6.4899
26,42.757923,3,1,12.386168,2.762356
27,47.832478,4,1,13.771173,8.154615
28,39.726451,5,1,11.96183,12.999145
29,27.037524,6,1,10.202848,19.792637
30,11.797904,7,1,7.291478,22.813827
31,0,6,1,3.662637,30.01183
32,0,5,1,3.373669,22.570381
33,0,4,1,0.086995,15.60191
34,0,3,1,2.973917,9.44191
35,6.742189,2,1,3.381598,5.353201
36,16.868336,3,1,4.918106,2.296861
37,31.607819,2,2,10.476093,3.661298
38,32.541025,3,1,11.538011,10.807376
39,33.429573,2,2,14.034113,9.492291
40,28.361355,3,1,12.745828,19.653982
41,20.741387,2,2,9.298892,24.839689
42,15.66159,3,1,8.559405,23.368407
43,8.04159,2,2,5.23006,27.673183
44,2.961596,3,1,2.26899,25.605668
45,0,2,2,1.761333,18.297797
46,0,1,1,0.655465,8.871746
47,0.618954,0,0,4.661524,11.675538
48,15.084467,1,-1,3.555476,5.587086
49,26.568519,0,0,9.820011,0.562344
50,29.522026,1,-1,10.533799,12.386258
51,28.077751,0,0,11.2285,14.103572
52,28.092612,1,-1,12.229558,19.44313
53,25.554533,2,0,13.05735,21.37886
54,20.474654,3,1,8.121943,23.783769
55,12.855817,2,2,6.073849,21.775131
56,7.807053,3,1,2.935503,18.161723
57,0.193175,2,2,2.103264,19.761679
58,0,3,1,2.135955,17.00097
59,0,2,2,2.183096,12.36485
60,10.976302,3,1,4.716252,5.956815
61,24.801914,2,2,10.069499,3.040962
62,22.315205,3,1,13.140688,12.452583
63,19.92998,4,2,13.492654,10.904384
64,11.304029,5,3,11.921836,13.513016
65,0,4,4,9.45999,24.997491
66,0,5,3,8.656038,27.48224
67,0,4,4,5.934439,23.144514
68,0,5,3,1.67109,25.889664
69,0,4,4,1.563245,19.619764
70,0,5,3,2.75871,15.564927
71,0.839876,4,4,3.037677,3.347168
72,0.484414,5,3,5.23225,0.072717
,,,,,
Month,Height (CM),Deer Count,Precipitation,Temperature (Celsius),Wolf Count
1,9.926396,0,0,7.317607,-0.405905
2,27.150925,1,0,9.597031,7.391667
3,40.508792,2,0,12.456715,7.501763
4,35.430151,3,0,14.427994,21.598409
5,27.810221,4,0,11.516191,24.208247
6,17.651791,5,0,7.544683,21.590644
7,4.951919,6,0,7.187295,23.700841
8,0,5,0,1.161904,19.474636
9,0,4,0,1.878121,16.660099
10,0,3,0,1.695832,16.894993
11,0,2,0,0.970042,9.047546
12,5.983283,1,0,4.676665,0.749361
13,24.671377,2,0,7.48097,3.872248
14,27.474248,3,0,12.809542,9.960306
15,20.392142,4,0,14.407329,14.919633
16,10.232559,5,0,12.697606,22.735994
17,0,4,0,11.184057,19.982715
18,0,3,0,7.976735,22.339295
19,0,2,0,4.467032,28.644956
20,0,1,0,1.097636,21.746695
21,0,0,0,2.995368,17.858281
22,4.989725,-1,0,0.204407,8.611005
23,15.792916,0,0,2.082426,7.916991
24,26.59732,1,0,5.279798,8.476077
25,45.276941,2,0,7.539124,3.789376
26,56.519564,3,0,9.475945,7.655585
27,49.424372,4,0,13.266153,15.083637
28,39.286071,5,0,11.070076,19.088792
29,26.586073,6,0,12.958342,26.687029
30,11.346076,7,0,9.861216,26.487444
31,0,6,0,6.147122,28.292525
32,0,5,0,4.198631,20.8255
33,0,4,0,0.301301,22.940331
34,0,3,0,1.094955,12.736693
35,0.452714,2,0,4.576199,9.245173
36,9.646417,1,0,5.658893,7.397355
37,24.821537,2,0,6.983239,6.69401
38,40.827208,1,1,9.639,6.010793
39,38.747814,2,0,13.23048,15.274552
40,33.808886,1,1,14.639465,16.707804
41,31.268896,2,0,11.685034,25.646968
42,26.190344,1,1,7.782647,21.673313
43,23.651582,2,0,4.654032,21.601418
44,18.571589,1,1,1.966288,25.401573
45,16.079023,2,0,0,17.085982
46,12.479987,1,1,1.242519,12.241565
47,12.086082,2,0,0.85778,11.316145
48,16.212077,3,1,5.487104,-0.22312
49,18.278337,2,2,6.613293,9.236357
50,29.640817,3,1,10.205248,7.63151
51,29.851475,4,2,14.433478,9.640552
52,21.13356,5,3,12.991674,13.528752
53,8.435352,4,4,10.763281,21.521204
54,0,3,3,8.439573,21.131888
55,0,2,2,3.592579,28.444375
56,0,1,1,3.653887,20.05967
57,0,0,0,3.073087,20.600565
58,3.653819,1,-1,2.884476,10.844938
59,3.138389,2,0,1.758213,11.782744
60,18.710169,1,1,7.429968,3.39716
61,26.371118,2,0,10.280971,-0.54356
62,33.63535,1,1,10.703581,8.787914
63,31.748278,2,0,14.687104,14.591493
64,26.717667,1,1,11.955189,18.164741
65,24.178512,2,0,11.900069,22.16167
66,19.098514,1,1,10.39532,26.877831
67,16.558531,2,0,3.502437,24.981571
68,11.478531,1,1,4.005564,28.54293
69,9.874501,2,0,1.593216,13.208887
70,13.171098,1,1,1.375162,7.277607
71,15.674993,2,0,2.293725,9.765447
72,27.83849,1,1,4.890185,3.642218
